Placement,Placement url,Type,Ad group,Views,Currency code,Avg. CPV,Impr.,View rate,Cost,Conversions,Cost / conv.,Conv. rate
CheezeFilm,http://youtube.com/channel/UCYn09ySlShmzBtYwl1OgOsA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
The Sean Ward Show,http://youtube.com/channel/UCEvLUnQiH-i1XUNikh0Zm4g,YouTube channel,AdGroup #1,2,USD,0.00,3,66.67%,0.01,0.00,0.00,0.00%
Wild Youth Subs,http://youtube.com/channel/UCv8EfNsGqXz_7V-S1nEnJ5g,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Asuna,http://youtube.com/channel/UCP0chdMKCjwlc6aM5Ddb72A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
{ Twištëd_Ñiğhtmāřë },http://youtube.com/channel/UCLliYSGUrOd_B0saeR9trLA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
3A Display,http://youtube.com/channel/UCRfXBvlnmdrYxQ8h793FkTg,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Dead Sound,http://youtube.com/channel/UCBYChBOoVXAenGDYvl5-dAw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Yeuri La Realeza - Topic,http://youtube.com/channel/UCbOCuyEzyGcraYbdS9nJz5A,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Piggy - Minecraft Animations,http://youtube.com/channel/UCUGHT662G_zU40DIbNBtdvw,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
Doodlesofficial,http://youtube.com/channel/UCJ0o_O2TJ01z2OWERFyeXVw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
MugiMikey,http://youtube.com/channel/UCBEtZVksBmO2TKig5_N7QGQ,YouTube channel,AdGroup #1,1,USD,0.03,1,100.00%,0.03,0.00,0.00,0.00%
VS GAG,http://youtube.com/channel/UCQ6OQ6CtasN4CVWp99-te4g,YouTube channel,AdGroup #1,6,USD,0.01,10,60.00%,0.05,0.00,0.00,0.00%
Roker Kun Music,http://youtube.com/channel/UCwTuJlWVG3Gzn12JnhVnpkA,YouTube channel,AdGroup #1,1,USD,0.00,2,50.00%,0.00,0.00,0.00,0.00%
ArtGio,http://youtube.com/channel/UCkkEZOrwAOfPA2rxF8FpIqQ,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
TheBeatlesVEVO,http://youtube.com/channel/UC4dqLAF7yT-_DqeYisQ001w,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.00,0.00,0.00,0.00%
Apollo Fresh,http://youtube.com/channel/UC2iRz1PRsly1N1gMP2yiNsQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Maydawa,http://youtube.com/channel/UCa5JjPnQLvlrElj6v-aGEnA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
